# massnumber, rigidity, px, py, pz, Nparticles, label
1.000000000000000000e+00 3.981071705534985830e+19 -7.768439233616974970e-01 4.721254151439996383e-01 -4.166666666666666297e-01 1.244838500483672204e-10 2.000000000000000000e+00
1.000000000000000000e+00 4.168693834703363277e+19 1.203494701423842433e-01 -2.776125707014135968e-01 9.531250000000000000e-01 7.071577089406233791e-09 1.000000000000000000e+00
1.000000000000000000e+00 6.918309709189361664e+19 -8.357948810079567359e-01 4.940108736351704888e-01 -2.395833333333333148e-01 2.563287934027452864e-18 2.000000000000000000e+00
1.000000000000000000e+00 6.918309709189361664e+19 -8.977596115589269177e-01 3.590214289576413309e-01 -2.552083333333333148e-01 4.205351830448579434e-31 4.000000000000000000e+00
1.000000000000000000e+00 8.317637711026674074e+19 -8.335308291611587261e-01 4.926726670294501731e-01 -2.500000000000000000e-01 8.762567678412189206e-22 2.000000000000000000e+00
1.000000000000000000e+00 8.317637711026674074e+19 -8.042193275425044696e-01 4.955454142478588619e-01 -3.281250000000000000e-01 2.437748486383314519e-19 2.000000000000000000e+00
1.000000000000000000e+00 8.709635899560833024e+18 -9.041823801459174526e-01 4.208769216242272959e-01 -7.291666666666665741e-02 3.409614991819385349e-02 4.000000000000000000e+00
1.000000000000000000e+00 6.918309709189361664e+19 -8.206485452943952374e-01 4.850583725990258444e-01 -3.020833333333333148e-01 9.728217561971311123e-16 2.000000000000000000e+00
1.400000000000000000e+01 6.221168499686309120e+17 5.491963963849331165e-01 -8.219304916648119130e-01 1.510416666666666574e-01 4.519819772857255891e-02 1.000000000000000000e+00
4.000000000000000000e+00 2.079409427756685568e+18 2.630728170066818916e-01 2.143022212503333523e-01 -9.406738281250000000e-01 5.817532546926187931e-02 4.000000000000000000e+00
1.400000000000000000e+01 1.132066566043650688e+18 5.911242531330651584e-01 7.869012710711754677e-01 1.770833333333333148e-01 5.182094805261781151e-02 2.000000000000000000e+00
4.000000000000000000e+00 4.148967268593890816e+18 -4.820011692084221200e-01 4.687835990624872329e-01 -7.402140299479167407e-01 4.644206309738958122e-02 2.000000000000000000e+00
1.000000000000000000e+00 8.709635899560832205e+19 1.200564132910439119e-01 -2.574618091541993059e-01 9.588012695312500000e-01 1.752669076753847732e-28 1.000000000000000000e+00
4.000000000000000000e+00 5.223240327135101952e+18 -5.678929409783899374e-01 4.898678197746856311e-01 -6.614583333333332593e-01 1.538336139818175657e-02 2.000000000000000000e+00
