# massnumber, rigidity, px, py, pz, Nparticles, source_name
1.0 1.0471285480508985e+19 0.6507731428279382 -0.6919812617216221 0.3125 1.0068332341882521e-06 M83
1.0 7.94328234724279e+19 0.5667471883984221 -0.7943211327558165 0.21875 1.562556492363842e-46 NGC4945
4.0 8.668421261313273e+18 0.6193309724829223 -0.7179767137267846 0.3177083333333333 1.743666259769765e-06 M83
1.0 4.365158322401665e+19 0.6284300250869665 -0.6207649644343619 0.46875 1.17722446009936e-25 M83
1.0 1.3803842646028866e+19 0.4192208250078928 -0.9006245386407832 -0.11458333333333333 7.530126704774158e-09 NGC4945
1.0 6.309573444801944e+19 0.5427554262084828 -0.8122908985815799 0.21354166666666666 1.7041851444845841e-19 NGC4945
1.0 7.94328234724279e+19 -0.47157202116957325 0.41146211993009746 -0.7799479166666667 1.2147027223595681e-23 background
1.0 1.0964781961431828e+19 0.46238273674991615 -0.2539771462571142 -0.8495279947916667 3.432762640900983e-07 NGC253
1.0 2.187761623949552e+19 0.6808054696590718 -0.6094791628778548 0.40625 1.0670112777175497e-07 M83
1.0 4.365158322401665e+19 0.13776518902398513 -0.0248555747927777 -0.9901529947916666 3.0583284576014935e-26 NGC253
2.0 5.2356427402544914e+19 0.6159423027000372 -0.5864258219716549 0.5260416666666666 5.917167118002023e-31 M83
1.0 4.786300923226381e+19 0.5638042113070736 -0.8005404709865759 0.203125 3.994898446623333e-27 NGC4945
2.0 9.52730358981626e+18 0.21556496272323283 -0.09198230582359375 -0.9721476236979166 3.776521696110966e-07 NGC253
1.0 5.011872336272716e+19 0.524969668315733 -0.8290176992153776 0.19270833333333331 1.3820305295478758e-29 NGC4945
4.0 7.549879301005048e+18 0.6752278261353718 -0.675227826135372 0.296875 4.7947444035751306e-06 M83
1.0 1.3803842646028866e+20 0.011786392689855076 0.004882083703593078 -0.9999186197916666 5.600786583552984e-44 NGC253
1.0 7.94328234724279e+19 0.5371263967486773 -0.8146432786292307 0.21875 6.970338226740699e-24 NGC4945
1.0 2.2908676527677702e+19 -0.68998174131073 -0.4859399687770448 0.5364583333333333 6.087773481355213e-14 background
3.0 1.2102601825670009e+19 0.6561773875577877 -0.689204663111807 0.30729166666666663 1.7910832979955055e-08 M83
1.0 1.3803842646028866e+19 0.534426326928577 -0.8105481648085564 0.23958333333333331 2.2324869318348208e-09 NGC4945
1.0 2.3988329190194848e+19 0.4941001015004816 -0.8477786196650059 0.19270833333333331 1.685496311548824e-08 NGC4945
1.0 4.365158322401665e+19 0.5033851489798007 -0.8398473826604355 0.203125 2.5168800131913594e-25 NGC4945
2.0 2.0843469173516816e+19 0.5260334676707127 -0.8306976219745752 0.18229166666666666 3.965089352877496e-13 NGC4945
2.0 3.154786722400972e+19 0.09544264928656392 0.005001937297998952 -0.99542236328125 2.9221041334844963e-19 NGC253
1.0 1.4454397707459279e+19 0.48800022939010146 -0.8614408775361244 0.140625 8.93293695248582e-09 NGC4945
3.0 1.4550527741338884e+19 0.6397544166673176 -0.6556522462036429 0.40104166666666663 1.358924536447206e-09 M83
4.0 3.4509606615072164e+18 0.6622464569931147 -0.11624465608504911 -0.7402140299479167 0.001168152232454513 NGC253
3.0 1.0066505734673398e+19 0.26799151394241544 -0.07351988803277507 -0.9606119791666666 2.4721160774495087e-07 NGC253
3.0 7.636225509225901e+18 0.534426326928577 -0.8105481648085564 0.23958333333333331 5.597963355389968e-06 M83
1.0 1.2589254117941713e+20 0.608259729213171 -0.7893514156401289 -0.08333333333333333 6.305899532760083e-70 Circinus
1.0 2.8840315031266116e+19 0.4868642578497908 -0.8353633347386002 0.2552083333333333 1.617238824777064e-17 NGC4945
4.0 4.148967268593891e+18 0.7160855900545087 -0.6901961556484084 0.10416666666666666 0.000507039798686035 M83
1.0 1.202264434617418e+20 0.6218597353394921 -0.5848274176647209 0.5208333333333333 8.915749741540389e-67 M83
4.0 4.344502071873423e+18 0.437419340019935 -0.2283128940155299 -0.8697916666666667 0.0011473007767315918 NGC253
4.0 2.6178213701272463e+18 0.4888723991661412 -0.7825968121511208 0.38541666666666663 0.007504012843023462 M83
3.0 1.3895646115677878e+19 0.18885871173094299 -0.02486372109051668 -0.981689453125 2.236266064985194e-09 NGC253
4.0 2.6178213701272463e+18 0.20106098760666888 -0.9793571623697114 0.020833333333333332 0.003672977509023431 NGC4945
1.0 1.8197008586099902e+19 0.5997786100182975 -0.6699696776455775 0.4375 9.543637395308884e-12 M83
3.0 2.1031911482673148e+19 0.12087262592658594 0.004999328788489287 -0.9926554361979166 2.3058671240309683e-13 NGC253
1.0 2.511886431509572e+19 0.5997786100182975 -0.6699696776455775 0.4375 7.0276149284296956e-15 M83
1.0 3.981071705534986e+19 0.1455518333005554 -0.014963182150846572 -0.9892374674479166 4.7667661163473335e-23 NGC253
4.0 6.27971607877393e+18 0.4557519849127759 -0.8653827768509649 0.20833333333333331 0.00012483531240102536 NGC4945
1.0 2.511886431509572e+19 0.1462336420439806 0.004995491145526746 -0.9892374674479166 2.494806666137376e-15 NGC253
4.0 2.280027098389779e+18 0.09140895846445128 -0.9903502955358776 0.10416666666666666 0.018045460803844077 M83
1.0 2.3988329190194848e+19 -0.6425090687878551 0.41240926527045807 -0.6458333333333333 1.5844630128022758e-14 background
4.0 4.988155787422207e+18 0.5189767538955655 -0.7871162670183551 0.3333333333333333 0.0005021727807068241 M83
1.0 3.981071705534986e+19 0.11944842771273281 -0.04406685149337243 -0.9918619791666666 8.633673053979173e-23 NGC253
