# massnumber, rigidity, px, py, pz, Nparticles, x0, y0, z0
1.000000000000000000e+00 1.905460717963252122e+19 3.939439423937673435e-01 -9.190016483261911340e-01 1.562500000000000000e-02 8.894513180711940268e-12 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.000000000000000000e+00 1.155789501508436378e+19 3.939439423937673435e-01 -9.190016483261911340e-01 1.562500000000000000e-02 2.421339757011194037e-08 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 8.317637711026674074e+19 5.597697822942613310e-01 -7.948120219304910528e-01 2.343750000000000000e-01 2.251184884469550705e-47 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 3.162277660168379187e+19 6.397329283227173313e-01 -6.319300043672883005e-01 4.375000000000000000e-01 5.428511036866423772e-18 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 9.120108393559115776e+18 5.019988608892129722e-01 -7.716276647716386883e-01 3.906250000000000000e-01 3.515608240220787634e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 1.455052774133888410e+19 6.018783130525909852e-01 -7.910623272865212607e-01 -1.093750000000000000e-01 5.256363421346296177e-10 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.000000000000000000e+00 2.630267991895370547e+19 6.167882154714975362e-01 -6.399240992579051657e-01 4.583333333333333148e-01 2.096042853948810811e-15 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 2.511886431509571994e+19 5.670213782940269898e-01 -8.156944380586176324e-01 -1.145833333333333287e-01 1.547378824837461566e-14 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.000000000000000000e+00 9.549925860214368256e+18 7.020443625742071037e-01 -6.207751562159988801e-01 3.489583333333333148e-01 2.810215212746609908e-06 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 8.317637711026742272e+18 5.546843315577788536e-01 -7.290342062767166675e-01 4.010416666666666297e-01 1.516364387220259152e-05 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 1.267297987735209370e+19 6.319300043672879674e-01 -6.397329283227176644e-01 4.375000000000000000e-01 1.409900699612381011e-08 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 7.244359600749890765e+19 -4.998209185575168932e-03 4.436033345722840276e-02 -9.990030924479166297e-01 3.405391516703973097e-41 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
3.000000000000000000e+00 6.065669528699967488e+18 4.609948214553249435e-01 -8.753378853221548406e-01 1.458333333333333148e-01 3.835217065039153782e-05 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.000000000000000000e+00 7.292538746498505114e+19 6.434279350306951750e-01 -7.552320785176802609e-01 -1.250000000000000000e-01 4.647715143780013621e-42 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.000000000000000000e+00 1.096478196143182848e+19 3.988776939333234517e-01 -8.851533266453461835e-01 2.395833333333333148e-01 1.166043422270045444e-04 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.000000000000000000e+00 2.306103236396453888e+19 5.966606029030098179e-01 -7.942712286528065269e-01 -1.145833333333333287e-01 9.332809998755924038e-15 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.000000000000000000e+00 1.318256738556410266e+19 6.483819555287432257e-01 -6.894386601675392967e-01 3.229166666666666297e-01 8.726769700701951789e-08 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 2.500000000000000000e+18 5.165306183711478871e-01 -8.499090691601516312e-01 -1.041666666666666574e-01 1.711559788438173080e-02 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
3.000000000000000000e+00 1.670624112090905190e+19 4.882185813711203415e-01 -8.376870876016452305e-01 2.447916666666666574e-01 3.299524935006984669e-11 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
4.000000000000000000e+00 7.549879301005048218e+19 5.555906713975542477e-01 -7.992506770375010783e-01 2.291666666666666574e-01 5.801693195814733652e-44 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 3.019951720402019123e+19 1.722563320076563875e-01 -4.443398063509718110e-02 -9.840494791666666297e-01 1.893334697842851629e-17 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 1.659586907437556326e+19 6.032517719123368094e-01 -6.336151505919237481e-01 4.843750000000000000e-01 9.280718493845094354e-10 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 8.317637711026674074e+19 5.709178420272121857e-01 -7.898705479922306649e-01 2.239583333333333148e-01 1.102494773259965161e-47 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 9.120108393559115776e+18 4.692638288159013404e-01 -8.651201951293220338e-01 1.770833333333333148e-01 1.497418968804841217e-06 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.000000000000000000e+00 7.996109730064949248e+19 6.127715761322671817e-01 -6.203379362948870934e-01 4.895833333333333148e-01 3.994186468278034804e-46 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 1.513561248436207206e+19 7.101113241385702546e-01 -6.201860980536851864e-01 3.333333333333333148e-01 5.831458156377848932e-06 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 5.248074602497712128e+19 6.244410661259283124e-01 -6.168246594382147396e-01 4.791666666666666297e-01 8.996826068636548714e-30 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 1.918133124457196749e+19 1.592090482744347169e-01 -4.438284956365363965e-02 -9.862467447916666297e-01 2.994112288821935754e-12 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
4.000000000000000000e+00 3.783903121090518016e+18 3.480356855538594973e-01 -9.363086542140124369e-01 4.687500000000000000e-02 8.632391214179882056e-04 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 5.011872336272715776e+19 6.108013395620482955e-01 -7.826695855764612686e-01 -1.197916666666666574e-01 4.329481841662124367e-15 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.000000000000000000e+00 2.884031503126611558e+19 6.102715526666024903e-01 -6.569459365907642789e-01 4.427083333333333148e-01 2.236613181819602233e-16 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 9.504734908014069760e+18 5.986733145945124512e-01 -7.480186399123412988e-01 2.864583333333333148e-01 4.138962818518192421e-07 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.000000000000000000e+00 1.513561248436207288e+20 6.499667948891653113e-01 -7.534921458153326368e-01 -9.895833333333332871e-02 3.095451601900031299e-85 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.000000000000000000e+00 2.511886431509571994e+19 2.160145562967935307e-01 -7.332706111142908711e-02 -9.736328125000000000e-01 1.281419308203288947e-08 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 2.089296130854040781e+19 2.267650295905169755e-01 -2.483480980703884136e-02 -9.736328125000000000e-01 2.029167369770338021e-07 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.000000000000000000e+00 2.884031503126611558e+19 1.615983497666735325e-01 -3.468907235036757658e-02 -9.862467447916666297e-01 1.582146365248862044e-09 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.400000000000000000e+01 4.506838174858531328e+18 3.584815393862098576e-01 -9.293284452674319684e-01 8.854166666666665741e-02 2.319269423845250451e-04 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 1.513561248436207206e+19 6.048848876141758035e-01 -7.279004733649200309e-01 3.229166666666666297e-01 1.289054737516822445e-09 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.000000000000000000e+00 5.223240327135101952e+18 6.674601887810346357e-01 -6.433287622921779469e-01 3.750000000000000000e-01 6.024847116675647500e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.400000000000000000e+01 3.579908811623368192e+18 5.612486513542319644e-01 -7.764931259302587652e-01 2.864583333333333148e-01 8.366205626249155654e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.000000000000000000e+00 6.351535726544174285e+19 5.371263967486773483e-01 -8.146432786292306938e-01 2.187500000000000000e-01 1.123454356416084023e-36 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.000000000000000000e+00 1.047128548050898289e+20 -1.464386698979964173e-02 3.535342229236199812e-02 -9.992675781250000000e-01 1.231460239898178248e-58 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
