# rigidity, px, py, pz, Nparticles, x0, y0, z0
1.380384264602886554e+19 4.609948214553249435e-01 -8.753378853221548406e-01 1.458333333333333148e-01 1.324184842430839310e-09 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
2.387481465053592064e+18 2.896527107623088626e-01 -9.341833489044152339e-01 -2.083333333333333148e-01 1.031060835183541559e-02 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.783903121090518016e+18 5.050520055730142177e-01 -8.084974529266608645e-01 3.020833333333333148e-01 8.456213955608080264e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
7.227198853729639629e+19 3.035867196898785203e-02 2.329502832100474249e-02 -9.992675781250000000e-01 2.839034641950622124e-42 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
9.120108393559115776e+18 3.584815393862098576e-01 -9.293284452674319684e-01 8.854166666666665741e-02 3.375142242832493292e-04 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.202264434617417933e+19 4.037599826403935332e-01 -8.815071845134245798e-01 2.447916666666666574e-01 1.173339334453171484e-07 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.096478196143182848e+19 6.674601887810346357e-01 -6.433287622921779469e-01 3.750000000000000000e-01 2.780723644437012162e-07 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.142720474037187994e+19 5.054886960507622984e-01 -8.433569389225352708e-01 1.822916666666666574e-01 7.526722241447356929e-08 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
6.918309709189361664e+19 6.026968985984397786e-01 -6.176738527332832351e-01 5.052083333333332593e-01 4.131016010904168284e-40 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
8.317637711026742272e+18 4.659885892830408771e-01 -8.718033319439408846e-01 1.510416666666666574e-01 5.793405919937844170e-04 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
2.079409427756685568e+18 8.238971907614766055e-01 -4.339036899023819838e-01 -3.645833333333333148e-01 7.887987481721335514e-03 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
